M90U80-15k16B,"Xtreme Power M90U-80 Series bundle; 15KVA/15KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (1) Power Module, (16) M90-80BAT Battery Modules providing 52 minutes runtime at 15KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1850  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity. Power and battery modules shipped on separate pallet. Additional power modules  ordered separately.","$42,540.00 ",,
M90U80-30k00B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (2) Power Modules, 10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 803  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity. Power module(s) shipped on separate pallet. Additional power modules and external battery ordered separately.","$33,400.00 ",,
M90U80-30k06B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (2) Power Modules, (6) M90-80BAT Battery Modules providing 6 minutes runtime at 30kW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1223  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$39,340.00 ",,
M90U80-30k08B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (2) Power Modules, (8) M90-80BAT Battery Modules providing 9 minutes runtime at 30KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1363  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$41,320.00 ",,
M90U80-30k10B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (2) Power Modules, (10) M90-80BAT Battery Modules providing 12 minutes runtime at 30KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1503  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$43,300.00 ",,
M90U80-30k12B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (2) Power Modules, (12) M90-80BAT Battery Modules providing 16 minutes runtime at 30KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1643  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$45,280.00 ",,
M90U80-30k14B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (2) Power Modules, (14) M90-80BAT Battery Modules providing 19 minutes runtime at 30KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1783  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$47,260.00 ",,
M90U80-30k16B,"Xtreme Power M90U-80 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (2) Power Modules, (16) M90-80BAT Battery Modules providing 22 minutes runtime at 30KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1923  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity. Power and battery modules shipped on separate pallet. Additional power modules  ordered separately.","$49,240.00 ",,
M90U80-45k00B,"Xtreme Power M90U-80 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (3) Power Modules, 10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 876  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity. Power module(s) shipped on separate pallet. Additional power modules and external battery ordered separately.","$40,100.00 ",,
M90U80-45k08B,"Xtreme Power M90U-80 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (3) Power Modules, (8) M90-80BAT Battery Modules providing 5 minutes runtime at 45KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1436  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$48,020.00 ",,
M90U80-45k10B,"Xtreme Power M90U-80 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (3) Power Modules, (10) M90-80BAT Battery Modules providing 7 minutes runtime at 45KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1576  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$50,000.00 ",,
M90U80-45k12B,"Xtreme Power M90U-80 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (3) Power Modules, (12) M90-80BAT Battery Modules providing 9 minutes runtime at 45KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1716  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$51,980.00 ",,
M90U80-45k14B,"Xtreme Power M90U-80 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (3) Power Modules, (14) M90-80BAT Battery Modules providing 11 minutes runtime at 45KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1856  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity and up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional power and battery modules  ordered separately.","$53,960.00 ",,
M90U80-45k16B,"Xtreme Power M90U-80 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (3) Power Modules, (16) M90-80BAT Battery Modules providing 14 minutes runtime at 45KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1996  lbs. Enclosure can accomodate up to 4 x 15kVA M90 (Unity PF) Power Modules for 60KVA  capacity. Power and battery modules shipped on separate pallet. Additional power  modules  ordered separately.","$55,940.00 ",,
M90U80-60Ka00B,"Xtreme Power M90U-80 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (4) Power Modules, 10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 949  lbs.  Power module(s) shipped on separate pallet. ","$46,800.00 ",,
M90U80-60Ka10B,"Xtreme Power M90U-80 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (4) Power Modules, (10) M90-80BAT Battery Modules providing 4 minutes runtime at 60KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1889  lbs. Enclosure can accomodate  up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional  battery modules  ordered separately.","$56,700.00 ",,
M90U80-60Ka12B,"Xtreme Power M90U-80 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (4) Power Modules, (12) M90-80BAT Battery Modules providing 6 minutes runtime at 60KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 2029  lbs. Enclosure can accomodate  up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional  battery modules  ordered separately.","$58,680.00 ",,
M90U80-60Ka14B,"Xtreme Power M90U-80 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (4) Power Modules, (14) M90-80BAT Battery Modules providing 8 minutes runtime at 60KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 2169  lbs. Enclosure can accomodate  up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. Additional  battery modules  ordered separately.","$60,660.00 ",,
M90U80-60Ka16B,"Xtreme Power M90U-80 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS with internal battery.  Includes (4) Power Modules, (16) M90-80BAT Battery Modules providing 9 minutes runtime at 60KW load,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 2309  lbs. Enclosure can accomodate  up to 16 battery modules for longer runtime. Power and battery modules shipped on separate pallet. ","$62,640.00 ",,
,,,,
Model,Description, List Price  ,,
M90U140-20K,"Xtreme Power M90-140 Series bundle; 20KVA/20KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (1) Power Module, 10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 731  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power module(s) shipped on separate pallet. Additional power modules and external battery ordered separately.","$34,500.00 ",,
M90U140-40K,"Xtreme Power M90-140 Series bundle; 40KVA/40KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (2) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 805  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$43,000.00 ",,
M90U140-60K,"Xtreme Power M90-140 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (3) Power Modules, 10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS;  TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included;  23.6""W x 43.3""D x 79.1""H; 879  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$51,500.00 ",,
M90U140-80K,"Xtreme Power M90-140 Series bundle; 80KVA/80KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (4) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 953  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$60,000.00 ",,
M90U140-100K,"Xtreme Power M90-140 Series bundle; 100KVA/100KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (5) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1027  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$68,500.00 ",,
M90U140-120K,"Xtreme Power M90-140 Series bundle; 120KVA/120KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (6) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1101  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$77,000.00 ",,
M90U140-140K,"Xtreme Power M90-140 Series bundle; 140KVA/140KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (7) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1175  lbs. Enclosure can accomodate up to 8 x 20kVA M90 (Unity PF) Power Modules for 140KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$85,500.00 ",,
M90U140-140KN1,"Xtreme Power M90-140 Series bundle; 140KVA/140KW (N+1); Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (8) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1249  lbs. Power Modules shipped on separate pallet. External battery ordered separately.","$94,000.00 ",,
,,,,
Model,Description, List Price  ,,
M90U140-15K,"Xtreme Power M90-140 Series bundle; 15KVA/15KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (1) Power Module, 10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 730  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power module(s) shipped on separate pallet. Additional power modules and external battery ordered separately.","$32,700.00 ",,
M90U140-30K,"Xtreme Power M90-140 Series bundle; 30KVA/30KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (2) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 803  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$39,400.00 ",,
M90U140-45K,"Xtreme Power M90-140 Series bundle; 45KVA/45KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (3) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 876  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$46,100.00 ",,
M90U140-60Ka,"Xtreme Power M90-140 Series bundle; 60KVA/60KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (4) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 949  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$52,800.00 ",,
M90U140-75K,"Xtreme Power M90-140 Series bundle;75KVA/75KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (5) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1022  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$59,500.00 ",,
M90U140-90K,"Xtreme Power M90-140 Series bundle; 90KVA/90KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (6) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1095  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$66,200.00 ",,
M90U140-105K,"Xtreme Power M90-140 Series bundle; 105KVA/105KW; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (7) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1169  lbs. Enclosure can accomodate up to 8 x 15kVA M90 (Unity PF) Power Modules for 105KVA N+1 capacity. Power Modules shipped on separate pallet. Additional power modules and external battery ordered separately.","$72,900.00 ",,
M90U140-105KN1,"Xtreme Power M90-140 Series bundle; 105KVA/105KW N+1; Modular online 208/120 VAC three-phase UPS set up for external battery (no internal batteries).  Includes (7) Power Modules,  10"" LCD touch screen,  front mounted maintenance bypass with static switch interlock, modular static switch; up to 94.1% efficiency in online mode or 98% efficiency in ECO mode; communication port; UL-1778 (TUV), cUL, FCC A, RoHS; TAA  Compliant ; 2 Year Parts Warranty; Start-up and onsite labor is not included; 23.6""W x 43.3""D x 79.1""H; 1242  lbs.  Power Modules shipped on separate pallet. External battery ordered separately.","$79,600.00 ",,
,,,,
Model,Description, List Price  ,,
M90-BC-04B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (4) M90-BCBAT Battery  Modules providing  __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four.  Each battery string (4  modules) protected by a 100A breaker. Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 756 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option. Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$16,300.00 ",,
M90-BC-08B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (8) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four.  Each battery string (4  modules) protected by a 100A breaker.Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ;  23.6""W x 43.3""D x 79.1""H; 1096 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option. Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$20,400.00 ",,
M90-BC-12B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (12) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four. Each battery string (4  modules) protected by a 100A breaker.Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 1436 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option. Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$24,500.00 ",,
M90-BC-16B,"Xtreme Power M90-BC Modular Battery Cabinet bundle.  Includes M90-BC Battery Cabinet and (16) M90-BCBAT Battery  Modules providing __ minutes runtime at __kW load.  Enclosure can accomodate  up to 32 battery modules for longer runtime. Battery modules must be added in sets of four.  Each battery string (4  modules) protected by a 100A breaker.Two Year Parts Warranty; UL-1778 (TUV), cUL, FCC A, RoHS, TAA  Compliant ; 23.6""W x 43.3""D x 79.1""H; 1776 lbs. Battery modules shipped on separate pallet. Additional  battery modules  ordered separately. Up to 2 battery cabinets can be paralleled with M90-BUS option. Battery Cabinet to UPS Cable not included.  Optional M90-CBL - Battery Cabinet to M9080  or M90140 Cable Available.","$28,600.00 ",,
